CANSAT data log:
36,23857,0.07,-0.01,9.85,-0.00,0.00,-0.10,0.29,31.40,1005.60,46.30,-0.98
37,24243,0.07,0.00,9.85,-0.00,-0.00,-0.06,0.33,31.40,1005.60,46.20,-0.98
38,24628,0.06,-0.01,9.84,-0.00,-0.00,-0.05,0.33,31.40,1005.60,46.20,-0.98
39,25016,0.06,0.01,9.85,-0.00,0.00,-0.01,0.34,31.40,1005.60,46.20,-0.98
40,25396,0.08,-0.00,9.87,-0.00,-0.00,0.00,0.38,31.40,1005.60,46.20,-0.98
41,25781,0.05,0.01,9.85,-0.00,-0.00,0.02,0.36,31.40,1005.50,46.20,-0.15
42,26161,0.07,-0.01,9.86,0.00,-0.00,0.01,0.38,31.40,1005.60,46.20,-0.98
43,26542,0.05,0.01,9.84,0.00,-0.00,0.03,0.36,31.40,1005.60,46.20,-0.98
44,26927,0.07,-0.01,9.84,-0.00,0.00,0.01,0.37,31.40,1005.60,46.20,-0.98
45,27307,0.05,0.10,9.88,0.01,-0.01,0.21,0.35,31.40,1005.60,46.20,-0.98
46,27689,0.04,-0.05,9.86,-0.00,0.00,0.08,0.31,31.40,1005.60,46.20,-0.98
47,28069,0.07,-0.03,9.87,0.00,0.00,-0.00,0.33,31.40,1005.60,46.20,-0.98
48,28449,0.07,-0.07,9.85,0.00,0.00,-0.14,0.36,31.40,1005.60,46.20,-0.98
49,28829,0.08,0.04,9.84,0.00,-0.00,-0.04,0.40,31.40,1005.60,46.10,-0.98
50,29209,0.06,-0.03,9.87,-0.00,-0.00,-0.09,0.38,31.40,1005.60,46.10,-0.98
51,29595,0.08,-0.02,9.86,0.00,-0.00,-0.11,0.42,31.40,1005.60,46.10,-0.98
52,29981,0.09,-0.00,9.84,0.00,-0.00,-0.09,0.45,31.40,1005.60,46.10,-0.98
53,30369,0.08,-0.01,9.86,-0.00,0.00,-0.08,0.47,31.40,1005.60,46.10,-0.98
54,30754,0.04,0.00,9.84,0.00,0.00,-0.05,0.40,31.40,1005.60,46.10,-0.98
55,31135,0.07,-0.02,9.84,-0.00,0.00,-0.07,0.39,31.40,1005.60,46.10,-0.98
56,31521,0.08,0.01,9.85,-0.00,-0.00,-0.04,0.41,31.30,1005.60,46.10,-0.98
